Year,Population Group,Population Estimate,Margin of Error,Percent of Population Estimate,Percent Margin of Error
2015,American Indian,5309095,19117,1.7,0.1
2015,Asian,19167716,19485,6.1,0.1
2015,Black,43587193,24865,13.8,0.1
2015,Pacific Islander,1262434,9700,0.4,0.1
2015,White,240966668,98421,76.1,0.1
2016,American Indian,5399769,20831,1.7,0.1
2016,Asian,19663833,20195,6.2,0.1
2016,Black,44088615,24513,13.8,0.1
2016,Pacific Islander,1294147,9836,0.4,0.1
2016,White,241955396,99672,76,0.1
2017,American Indian,5487131,19708,1.7,0.1
2017,Asian,20371856,21804,6.3,0.1
2017,Black,44631272,28624,13.9,0.1
2017,Pacific Islander,1327014,9720,0.4,0.1
2017,White,242972820,105227,75.7,0.1
2018,American Indian,5579703,22611,1.7,0.1
2018,Asian,20916028,22895,6.5,0.1
2018,Black,45109521,27029,14,0.1
2018,Pacific Islander,1362875,8535,0.4,0.1
2018,White,243832540,112446,75.5,0.1
